,submitter,UCD.number,gene,insert_bp,row,column,well,final.ID
1,CBW,1,16S,291,A,1,A1,CBW_01_16S
2,CBW,2,16S,291,B,1,B1,CBW_02_16S
3,CBW,3,16S,291,C,1,C1,CBW_03_16S
4,CBW,4,16S,291,D,1,D1,CBW_04_16S
5,CBW,5,16S,291,E,1,E1,CBW_05_16S
6,CBW,6,16S,291,F,1,F1,CBW_06_16S
7,CBW,7,16S,291,G,1,G1,CBW_07_16S
8,CBW,8,16S,291,H,1,H1,CBW_08_16S
9,CBW,9,16S,291,A,2,A2,CBW_09_16S
10,CBW,10,16S,291,B,2,B2,CBW_10_16S
11,CBW,11,16S,291,C,2,C2,CBW_11_16S
12,CBW,12,16S,291,D,2,D2,CBW_12_16S
13,CBW,13,16S,291,E,2,E2,CBW_13_16S
14,CBW,14,16S,291,F,2,F2,CBW_14_16S
15,CBW,15,16S,291,G,2,G2,CBW_15_16S
16,CBW,16,16S,291,H,2,H2,CBW_16_16S
17,CBW,17,16S,291,A,3,A3,CBW_17_16S
18,CBW,18,16S,291,B,3,B3,CBW_18_16S
19,CBW,19,16S,291,C,3,C3,CBW_19_16S
20,CBW,20,16S,291,D,3,D3,CBW_20_16S
21,CBW,21,16S,291,E,3,E3,CBW_21_16S
22,CBW,22,16S,291,F,3,F3,CBW_22_16S
23,CBW,23,16S,291,G,3,G3,CBW_23_16S
24,CBW,24,16S,291,H,3,H3,CBW_24_16S
25,CBW,25,16S,291,A,4,A4,CBW_25_16S
26,CBW,26,16S,291,B,4,B4,CBW_26_16S
27,CBW,27,16S,291,C,4,C4,CBW_27_16S
28,CBW,28,16S,291,D,4,D4,CBW_28_16S
29,CBW,29,16S,291,E,4,E4,CBW_29_16S
30,CBW,30,16S,291,F,4,F4,CBW_30_16S
31,CBW,31,16S,291,G,4,G4,CBW_31_16S
32,CBW,32,16S,291,H,4,H4,CBW_32_16S
33,CBW,33,16S,291,A,5,A5,CBW_33_16S
34,CBW,34,16S,291,B,5,B5,CBW_34_16S
35,CBW,35,16S,291,C,5,C5,CBW_35_16S
36,CBW,36,16S,291,D,5,D5,CBW_36_16S
37,CBW,37,16S,291,E,5,E5,CBW_37_16S
38,CBW,38,16S,291,F,5,F5,CBW_38_16S
39,CBW,39,16S,291,G,5,G5,CBW_39_16S
40,CBW,40,16S,291,H,5,H5,CBW_40_16S
41,CBW,41,16S,291,A,6,A6,CBW_41_16S
42,CBW,42,16S,291,B,6,B6,CBW_42_16S
43,CBW,43,16S,291,C,6,C6,CBW_43_16S
44,CBW,44,16S,291,D,6,D6,CBW_44_16S
45,CBW,45,16S,291,E,6,E6,CBW_45_16S
46,CBW,46,16S,291,F,6,F6,CBW_46_16S
47,CBW,47,16S,291,G,6,G6,CBW_47_16S
48,CBW,48,16S,291,H,6,H6,CBW_48_16S
49,CBW,49,16S,291,A,7,A7,CBW_49_16S
50,CBW,50,16S,291,B,7,B7,CBW_50_16S
51,CBW,51,16S,291,C,7,C7,CBW_51_16S
52,CBW,52,16S,291,D,7,D7,CBW_52_16S
53,CBW,53,16S,291,E,7,E7,CBW_53_16S
54,CBW,54,16S,291,F,7,F7,CBW_54_16S
55,CBW,55,16S,291,G,7,G7,CBW_55_16S
56,CBW,56,16S,291,H,7,H7,CBW_56_16S
57,CBW,57,16S,291,A,8,A8,CBW_57_16S
58,CBW,58,16S,291,B,8,B8,CBW_58_16S
59,CBW,59,16S,291,C,8,C8,CBW_59_16S
60,CBW,60,16S,291,D,8,D8,CBW_60_16S
61,CBW,61,16S,291,E,8,E8,CBW_61_16S
62,CBW,62,16S,291,F,8,F8,CBW_62_16S
63,CBW,63,16S,291,G,8,G8,CBW_63_16S
64,CBW,64,16S,291,H,8,H8,CBW_64_16S
65,CBW,65,16S,291,A,9,A9,CBW_65_16S
66,CBW,66,16S,291,B,9,B9,CBW_66_16S
67,CBW,67,16S,291,C,9,C9,CBW_67_16S
68,CBW,68,16S,291,D,9,D9,CBW_68_16S
69,CBW,69,16S,291,E,9,E9,CBW_69_16S
70,CBW,70,16S,291,F,9,F9,CBW_70_16S
71,CBW,71,16S,291,G,9,G9,CBW_71_16S
72,CBW,72,16S,291,H,9,H9,CBW_72_16S
73,CBW,73,16S,291,A,10,A10,CBW_73_16S
74,CBW,74,16S,291,B,10,B10,CBW_74_16S
75,CBW,75,16S,291,C,10,C10,CBW_75_16S
76,CBW,76,16S,291,D,10,D10,CBW_76_16S
77,CBW,77,16S,291,E,10,E10,CBW_77_16S
78,CBW,78,16S,291,F,10,F10,CBW_78_16S
79,CBW,79,16S,291,G,10,G10,CBW_79_16S
80,CBW,80,16S,291,H,10,H10,CBW_80_16S
81,CBW,81,16S,291,A,11,A11,CBW_81_16S
82,CBW,82,16S,291,B,11,B11,CBW_82_16S
83,CBW,83,16S,291,C,11,C11,CBW_83_16S
84,CBW,84,16S,291,D,11,D11,CBW_84_16S
85,CBW,85,16S,291,E,11,E11,CBW_85_16S
86,CBW,86,16S,291,F,11,F11,CBW_86_16S
87,CBW,87,16S,291,G,11,G11,CBW_87_16S
88,CBW,88,16S,291,H,11,H11,CBW_88_16S
89,CBW,89,16S,291,A,12,A12,CBW_89_16S
90,CBW,90,16S,291,B,12,B12,CBW_90_16S
91,CBW,91,16S,291,C,12,C12,CBW_91_16S
92,CBW,92,16S,291,D,12,D12,CBW_92_16S
93,CBW,93,16S,291,E,12,E12,CBW_93_16S
94,CBW,94,16S,291,F,12,F12,CBW_94_16S
95,CBW,95,16S,291,G,12,G12,CBW_95_16S
96,CBW,96,16S,291,H,12,H12,CBW_96_16S
97,CBW,97,16S,291,A,1,A1,CBW_97_16S
98,CBW,98,16S,291,B,1,B1,CBW_98_16S
99,CBW,99,16S,291,C,1,C1,CBW_99_16S
100,CBW,100,16S,291,D,1,D1,CBW_100_16S
101,CBW,101,16S,291,E,1,E1,CBW_101_16S
102,CBW,102,16S,291,F,1,F1,CBW_102_16S
103,CBW,103,16S,291,G,1,G1,CBW_103_16S
104,CBW,104,16S,291,H,1,H1,CBW_104_16S
105,CBW,105,16S,291,A,2,A2,CBW_105_16S
106,CBW,106,16S,291,B,2,B2,CBW_106_16S
107,CBW,107,16S,291,C,2,C2,CBW_107_16S
108,CBW,108,16S,291,D,2,D2,CBW_108_16S
109,CBW,109,16S,291,E,2,E2,CBW_109_16S
110,CBW,110,16S,291,F,2,F2,CBW_110_16S
111,CBW,111,16S,291,G,2,G2,CBW_111_16S
112,CBW,112,16S,291,H,2,H2,CBW_112_16S
113,CBW,113,16S,291,A,3,A3,CBW_113_16S
114,CBW,114,16S,291,B,3,B3,CBW_114_16S
115,CBW,115,16S,291,C,3,C3,CBW_115_16S
116,CBW,116,16S,291,D,3,D3,CBW_116_16S
117,CBW,117,16S,291,E,3,E3,CBW_117_16S
118,CBW,118,16S,291,F,3,F3,CBW_118_16S
119,CBW,119,16S,291,G,3,G3,CBW_119_16S
120,CBW,120,16S,291,H,3,H3,CBW_120_16S
121,CBW,121,16S,291,A,4,A4,CBW_121_16S
122,CBW,122,16S,291,B,4,B4,CBW_122_16S
123,CBW,123,16S,291,C,4,C4,CBW_123_16S
124,CBW,124,16S,291,D,4,D4,CBW_124_16S
125,CBW,125,16S,291,E,4,E4,CBW_125_16S
126,CBW,126,16S,291,F,4,F4,CBW_126_16S
127,CBW,127,16S,291,G,4,G4,CBW_127_16S
128,CBW,128,16S,291,H,4,H4,CBW_128_16S
129,CBW,129,16S,291,A,5,A5,CBW_129_16S
130,CBW,130,16S,291,B,5,B5,CBW_130_16S
131,CBW,131,16S,291,C,5,C5,CBW_131_16S
132,CBW,132,16S,291,D,5,D5,CBW_132_16S
133,CBW,133,16S,291,E,5,E5,CBW_133_16S
134,CBW,134,16S,291,F,5,F5,CBW_134_16S
135,CBW,135,16S,291,G,5,G5,CBW_135_16S
136,CBW,136,16S,291,H,5,H5,CBW_136_16S
