UCSD_metanames,Project,Location,Year,Sampling.date,Lake,Qiagen.ID..original,Sample.type,Organism,Functional.group,Number.of.individuals.or.ml,Extraction.date,FINAL.DNA.tube.ID,Qubit.DNA..ng.ul,Plate.ID,Well.ID,Miseq.Lane,notes1,notes2,well.column,well.letter
CBW_YoTB_1,Zoop Microbiome,Sierra Nevada,2021,7/21/21,Wasco,1,zooplankton,calanoid,copepoda,50,12/5/22,001_21,3.31,1,A01,1,,,A,1
CBW_YoTB_2,Zoop Microbiome,Sierra Nevada,2021,7/21/21,Wasco,2,zooplankton,calanoid,copepoda,50,12/5/22,002_21,0.348,1,A02,1,,,A,2
CBW_YoTB_3,Zoop Microbiome,Sierra Nevada,2021,7/21/21,Greenstone,3,zooplankton,calanoid,copepoda,42,12/5/22,003_21,1.61,1,A03,1,,,A,3
CBW_YoTB_4,Zoop Microbiome,Sierra Nevada,2021,7/21/21,Wasco,4,zooplankton,calanoid,copepoda,100,12/5/22,004_21,6.03,1,A04,1,,,A,4
CBW_YoTB_5,Zoop Microbiome,Sierra Nevada,2021,7/22/21,Granite.2.upper,5,zooplankton,calanoid,copepoda,52,12/5/22,005_21,0.483,1,A05,1,,,A,5
CBW_YoTB_6,Zoop Microbiome,Sierra Nevada,2021,7/22/21,Granite.2.upper,6,zooplankton,holopedium,cladocera,2,12/5/22,006_21,0.086,1,A06,1,,,A,6
CBW_YoTB_7,Zoop Microbiome,Sierra Nevada,2021,7/22/21,Gaylor.1.lower ,7,zooplankton,calanoid,copepoda,68,12/5/22,007_21,1.76,1,A07,1,,,A,7
CBW_YoTB_8,Zoop Microbiome,Sierra Nevada,2021,7/23/21,Convict,8,zooplankton,calanoid,copepoda,50,12/5/22,008_21,0.793,1,A08,1,,,A,8
CBW_YoTB_9,Zoop Microbiome,Sierra Nevada,2021,7/23/21,Convict,9,zooplankton,calanoid,copepoda,50,12/5/22,009_21,0.71,1,A09,1,,,A,9
CBW_YoTB_10,Zoop Microbiome,Sierra Nevada,2021,7/23/21,Convict,10,zooplankton,calanoid,copepoda,54,12/5/22,010_21,0.288,1,A10,1,,,A,10
CBW_YoTB_11,Zoop Microbiome,Sierra Nevada,2021,7/23/21,Convict,12,zooplankton,calanoid,copepoda,50,12/5/22,011_21,0.339,1,A11,1,,,A,11
CBW_YoTB_12,Zoop Microbiome,Sierra Nevada,2021,7/23/21,Convict,13,zooplankton,calanoid,copepoda,19,12/5/22,012_21,0.115,1,A12,1,,,A,12
CBW_YoTB_13,Zoop Microbiome,Sierra Nevada,2021,7/21/21,Greenstone,14,zooplankton,daphnia,cladocera,39,12/5/22,013_21,0.054,1,B01,1,,,B,1
CBW_YoTB_14,Zoop Microbiome,Sierra Nevada,2021,7/18/21,Spillway,15,zooplankton,calanoid,copepoda,50,12/5/22,014_21,0.416,1,B02,1,,,B,2
CBW_YoTB_15,Zoop Microbiome,Sierra Nevada,2021,7/18/21,Spillway,16,zooplankton,calanoid,copepoda,50,12/5/22,015_21,0.238,1,B03,1,,,B,3
CBW_YoTB_16,Zoop Microbiome,Sierra Nevada,2021,7/20/21,Elizabeth,18,zooplankton,calanoid,copepoda,50,12/5/22,016_21,0.505,1,B04,1,,,B,4
CBW_YoTB_17,Zoop Microbiome,Sierra Nevada,2021,7/20/21,Elizabeth,19,zooplankton,calanoid,copepoda,50,12/5/22,017_21,0.536,1,B05,1,,,B,5
CBW_YoTB_18,Zoop Microbiome,Sierra Nevada,2021,7/20/21,Elizabeth,20,zooplankton,calanoid,copepoda,50,12/5/22,018_21,0.775,1,B06,1,,,B,6
CBW_YoTB_19,Zoop Microbiome,Sierra Nevada,2021,7/5/21,Steelhead,21,zooplankton,daphnia melanica,cladocera,5,12/5/22,019_21,2.8,1,B07,1,,,B,7
CBW_YoTB_20,Zoop Microbiome,Sierra Nevada,2021,7/5/21,Secret,24,zooplankton,daphnia melanica,cladocera,11,12/5/22,020_21,1.48,1,B08,1,,,B,8
CBW_YoTB_21,Zoop Microbiome,Sierra Nevada,2021,7/5/21,Secret,25,zooplankton,daphnia melanica,cladocera,30,12/5/22,021_21,4.8,1,B09,1,,,B,9
